"filename", "language", "Python", "comment", "blank", "total"
"e:\-bishe\Blockchain-MPC\app\api\dao_proposal.py", "Python", 91, 0, 13, 104
"e:\-bishe\Blockchain-MPC\app\api\dashboard_tokens.py", "Python", 77, 0, 11, 88
"e:\-bishe\Blockchain-MPC\app\api\dashboard_tokens_demo.py", "Python", -353, -1, -73, -427
"e:\-bishe\Blockchain-MPC\app\api\token_detail.py", "Python", 86, 0, 18, 104
"e:\-bishe\Blockchain-MPC\app\clients\binance_client.py", "Python", 29, 2, 2, 33
"e:\-bishe\Blockchain-MPC\app\clients\token_detail_market_client.py", "Python", 10, 5, 8, 23
"e:\-bishe\Blockchain-MPC\app\main.py", "Python", 4, 0, -1, 3
"e:\-bishe\Blockchain-MPC\app\models\dao_proposal.py", "Python", 40, 0, 12, 52
"e:\-bishe\Blockchain-MPC\app\models\dashboard_tokens_models.py", "Python", 37, 0, 17, 54
"e:\-bishe\Blockchain-MPC\app\models\milvus_models.py", "Python", 0, 0, -1, -1
"e:\-bishe\Blockchain-MPC\app\models\snapshot_models.py", "Python", 12, 0, 2, 14
"e:\-bishe\Blockchain-MPC\app\models\token_detail_models.py", "Python", 95, 1, 28, 124
"e:\-bishe\Blockchain-MPC\app\services\ai_service.py", "Python", 89, -3, 6, 92
"e:\-bishe\Blockchain-MPC\app\services\dao_proposal_service.py", "Python", 247, 0, 43, 290
"e:\-bishe\Blockchain-MPC\app\services\dashboard_tokens_service.py", "Python", 267, 1, 37, 305
"e:\-bishe\Blockchain-MPC\app\services\price_service.py", "Python", 40, 0, 5, 45
"e:\-bishe\Blockchain-MPC\app\services\symbol_mapper_service.py", "Python", 2, 0, 0, 2
"e:\-bishe\Blockchain-MPC\app\services\token_detail_demo_service.py", "Python", 321, 1, 42, 364
"e:\-bishe\Blockchain-MPC\app\services\token_detail_service.py", "Python", 272, 2, 45, 319
"Total", "-", 1366, 8, 214, 1588
