"filename", "language", "Markdown", "Batch", "PowerShell", "pip requirements", "Python", "JSON", "YAML", "CSV", "comment", "blank", "total"
"e:\-bishe\Blockchain-MPC\1.bat", "Batch", 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"e:\-bishe\Blockchain-MPC\DAO治理页面技术设计与接口文档.md", "Markdown", 634, 0, 0, 0, 0, 0, 0, 0, 0, 214, 848
"e:\-bishe\Blockchain-MPC\Dashboard_主流币种链总览区_模块清单版.md", "Markdown", 283, 0, 0, 0, 0, 0, 0, 0, 0, 136, 419
"e:\-bishe\Blockchain-MPC\MCP\client\client.py", "Python", 0, 0, 0, 0, 162, 0, 0, 0, 19, 46, 227
"e:\-bishe\Blockchain-MPC\MCP\server\output.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 325, 0, 1, 326
"e:\-bishe\Blockchain-MPC\MCP\server\server.py", "Python", 0, 0, 0, 0, 16, 0, 0, 0, 4, 7, 27
"e:\-bishe\Blockchain-MPC\README.md", "Markdown", 18, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"e:\-bishe\Blockchain-MPC\Token详情页设计文档与接口设计文档.md", "Markdown", 840, 0, 0, 0, 0, 0, 0, 0, 0, 359, 1199
"e:\-bishe\Blockchain-MPC\app\clients\snapshot_client.py", "Python", 0, 0, 0, 0, 8, 0, 0, 0, 10, 0, 18
"e:\-bishe\Blockchain-MPC\app\models\dao_proposal.py", "Python", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"e:\-bishe\Blockchain-MPC\app\modules\proposals_get_and_push.py", "Python", 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"e:\-bishe\Blockchain-MPC\app\modules\proposals_vectorized_and_store.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"e:\-bishe\Blockchain-MPC\app\services\dao_proposal_service.py", "Python", 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"e:\-bishe\Blockchain-MPC\app\services\snapshot_service.py", "Python", 0, 0, 0, 0, 284, 0, 0, 0, 10, 28, 322
"e:\-bishe\Blockchain-MPC\configs\ai_config.py", "Python", 0, 0, 0, 0, 17, 0, 0, 0, 1, 9, 27
"e:\-bishe\Blockchain-MPC\configs\dao_spaces_config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 92, 0, 0, 6, 98
"e:\-bishe\Blockchain-MPC\configs\dashboard_tokens_config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 203, 0, 0, 15, 218
"e:\-bishe\Blockchain-MPC\configs\kafka_config.py", "Python", 0, 0, 0, 0, 25, 0, 0, 0, 1, 8, 34
"e:\-bishe\Blockchain-MPC\configs\milvus_config.py", "Python", 0, 0, 0, 0, 21, 0, 0, 0, 1, 8, 30
"e:\-bishe\Blockchain-MPC\configs\mongo_config.py", "Python", 0, 0, 0, 0, 37, 0, 0, 0, 1, 8, 46
"e:\-bishe\Blockchain-MPC\configs\provider_config.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 0, 9, 32
"e:\-bishe\Blockchain-MPC\configs\snapshot_config.py", "Python", 0, 0, 0, 0, 28, 0, 0, 0, 1, 8, 37
"e:\-bishe\Blockchain-MPC\docs\api_dashboard_tokens_overview_response_1.json", "JSON", 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 229
"e:\-bishe\Blockchain-MPC\requirements.txt", "pip requirements", 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 80
"e:\-bishe\Blockchain-MPC\scripts\check_kafka_topic_empty.py", "Python", 0, 0, 0, 0, 120, 0, 0, 0, 3, 26, 149
"e:\-bishe\Blockchain-MPC\scripts\init_milvus_collection.py", "Python", 0, 0, 0, 0, 110, 0, 0, 0, 0, 25, 135
"e:\-bishe\Blockchain-MPC\scripts\rebuild_kafka_topic.py", "Python", 0, 0, 0, 0, 166, 0, 0, 0, 0, 28, 194
"e:\-bishe\Blockchain-MPC\start.bat", "Batch", 0, 39, 0, 0, 0, 0, 0, 0, 0, 10, 49
"e:\-bishe\Blockchain-MPC\start.ps1", "PowerShell", 0, 0, 49, 0, 0, 0, 0, 0, 0, 11, 60
"e:\-bishe\Blockchain-MPC\stop.bat", "Batch", 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"e:\-bishe\Blockchain-MPC\stop.ps1", "PowerShell", 0, 0, 45, 0, 0, 0, 0, 0, 0, 10, 55
"e:\-bishe\Blockchain-MPC\产品设计方案_区块链智能交互平台.md", "Markdown", 251, 0, 0, 0, 0, 0, 0, 0, 0, 112, 363
"Total", "-", 2026, 71, 94, 79, 1076, 229, 295, 325, 51, 1107, 5353
