"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"e:\-bishe\Blockchain-MPC\AIChat_API接口说明.md", "Markdown", 231, 0, 0, 71, 302
"e:\-bishe\Blockchain-MPC\AI_MCP智能交互窗口设计文档.md", "Markdown", 501, 0, 0, 217, 718
"e:\-bishe\Blockchain-MPC\Auth_API接口说明.md", "Markdown", 192, 0, 0, 56, 248
"e:\-bishe\Blockchain-MPC\app\api\ai_chat.py", "Python", 0, 130, 0, 22, 152
"e:\-bishe\Blockchain-MPC\app\api\auth.py", "Python", 0, 73, 0, 18, 91
"e:\-bishe\Blockchain-MPC\app\api\auth_dependencies.py", "Python", 0, 18, 0, 8, 26
"e:\-bishe\Blockchain-MPC\app\clients\auth_client.py", "Python", 0, 48, 2, 17, 67
"e:\-bishe\Blockchain-MPC\app\clients\mcp_client.py", "Python", 0, 279, 8, 49, 336
"e:\-bishe\Blockchain-MPC\app\main.py", "Python", 0, 4, 0, 0, 4
"e:\-bishe\Blockchain-MPC\app\models\ai_assistant_models.py", "Python", 0, 140, 1, 44, 185
"e:\-bishe\Blockchain-MPC\app\models\auth_models.py", "Python", 0, 36, 0, 19, 55
"e:\-bishe\Blockchain-MPC\app\services\ai_chat_service.py", "Python", 0, 378, 1, 32, 411
"e:\-bishe\Blockchain-MPC\app\services\ai_chat_session_service.py", "Python", 0, 278, 1, 40, 319
"e:\-bishe\Blockchain-MPC\app\services\ai_intent_service.py", "Python", 0, 183, 1, 24, 208
"e:\-bishe\Blockchain-MPC\app\services\auth_service.py", "Python", 0, 142, 1, 27, 170
"e:\-bishe\Blockchain-MPC\app\services\mcp_service.py", "Python", 0, 144, 30, 38, 212
"e:\-bishe\Blockchain-MPC\configs\ai_config.py", "Python", 0, 0, 0, -1, -1
"e:\-bishe\Blockchain-MPC\configs\auth_config.py", "Python", 0, 17, 1, 8, 26
"e:\-bishe\Blockchain-MPC\configs\mcp_config.py", "Python", 0, 14, 1, 8, 23
"e:\-bishe\Blockchain-MPC\configs\mongo_config.py", "Python", 0, 10, 0, 0, 10
"Total", "-", 924, 1894, 47, 697, 3562
