"filename", "language", "PowerShell", "Batch", "TypeScript", "YAML", "Python", "JSON", "XML", "vue", "PostCSS", "comment", "blank", "total"
"e:\-bishe\Blockchain-MPC\app\api\dao_proposal.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"e:\-bishe\Blockchain-MPC\app\assets\tokens\aave.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"e:\-bishe\Blockchain-MPC\app\assets\tokens\arb.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"e:\-bishe\Blockchain-MPC\app\assets\tokens\fil.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\-bishe\Blockchain-MPC\app\assets\tokens\near.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\-bishe\Blockchain-MPC\app\assets\tokens\op.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\-bishe\Blockchain-MPC\app\assets\tokens\shib.svg", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"e:\-bishe\Blockchain-MPC\app\assets\tokens\ton.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"e:\-bishe\Blockchain-MPC\app\assets\tokens\uni.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"e:\-bishe\Blockchain-MPC\app\clients\mcp_client.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"e:\-bishe\Blockchain-MPC\app\clients\snapshot_client.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 20, 0, 26
"e:\-bishe\Blockchain-MPC\app\main.py", "Python", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"e:\-bishe\Blockchain-MPC\app\models\ai_assistant_models.py", "Python", 0, 0, 0, 0, -45, 0, 0, 0, 0, 0, -10, -55
"e:\-bishe\Blockchain-MPC\app\models\dao_proposal.py", "Python", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"e:\-bishe\Blockchain-MPC\app\services\ai_chat_service.py", "Python", 0, 0, 0, 0, -196, 0, 0, 0, 0, 0, -6, -202
"e:\-bishe\Blockchain-MPC\app\services\ai_chat_session_service.py", "Python", 0, 0, 0, 0, -33, 0, 0, 0, 0, 0, -4, -37
"e:\-bishe\Blockchain-MPC\app\services\dao_proposal_service.py", "Python", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 6, 60
"e:\-bishe\Blockchain-MPC\app\services\mcp_client_manager.py", "Python", 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 16, 60
"e:\-bishe\Blockchain-MPC\app\services\mcp_service.py", "Python", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 14, 131
"e:\-bishe\Blockchain-MPC\configs\dashboard_tokens_config.yaml", "YAML", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 8, 136
"e:\-bishe\Blockchain-MPC\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, -1046, 0, 0, 0, 0, 0, -1046
"e:\-bishe\Blockchain-MPC\frontend\package.json", "JSON", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"e:\-bishe\Blockchain-MPC\frontend\src\api\client.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\-bishe\Blockchain-MPC\frontend\src\assets\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 279, 0, 0, 279
"e:\-bishe\Blockchain-MPC\frontend\src\types\api.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\-bishe\Blockchain-MPC\frontend\src\views\HomeView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"e:\-bishe\Blockchain-MPC\frontend\src\views\assistant\AiAssistantView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 240, 0, 0, 29, 269
"e:\-bishe\Blockchain-MPC\frontend\src\views\governance\ProposalDetailView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 215, 0, 0, 28, 243
"e:\-bishe\Blockchain-MPC\frontend\src\views\governance\ProposalListView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 3, 36
"e:\-bishe\Blockchain-MPC\frontend\vite.config.ts", "TypeScript", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"e:\-bishe\Blockchain-MPC\start.bat", "Batch", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 2, 13
"e:\-bishe\Blockchain-MPC\start.ps1", "PowerShell", 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 24
"e:\-bishe\Blockchain-MPC\stop.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 8
"e:\-bishe\Blockchain-MPC\stop.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"Total", "-", 15, 8, 11, 128, -3, -1047, 46, 487, 279, 39, 111, 74
