"filename", "language", "pip requirements", "Markdown", "Batch", "PowerShell", "Python", "YAML", "JSON", "TypeScript", "JSON with Comments", "vue", "XML", "HTML", "PostCSS", "CSV", "comment", "blank", "total"
"e:\-bishe\Blockchain-MPC\1.bat", "Batch", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"e:\-bishe\Blockchain-MPC\AI_MCP智能交互窗口设计文档.md", "Markdown", 0, 501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 718
"e:\-bishe\Blockchain-MPC\API接口总说明.md", "Markdown", 0, 630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 810
"e:\-bishe\Blockchain-MPC\Dashboard_主流币种链总览区_模块清单版.md", "Markdown", 0, 283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 419
"e:\-bishe\Blockchain-MPC\MCP\client\client.py", "Python", 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 46, 227
"e:\-bishe\Blockchain-MPC\MCP\server\output.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 325, 0, 1, 326
"e:\-bishe\Blockchain-MPC\MCP\server\server.py", "Python", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 27
"e:\-bishe\Blockchain-MPC\README.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"e:\-bishe\Blockchain-MPC\Token详情页设计文档与接口设计文档.md", "Markdown", 0, 840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 359, 1199
"e:\-bishe\Blockchain-MPC\app\api\ai_chat.py", "Python", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 152
"e:\-bishe\Blockchain-MPC\app\api\auth.py", "Python", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 91
"e:\-bishe\Blockchain-MPC\app\api\auth_dependencies.py", "Python", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"e:\-bishe\Blockchain-MPC\app\api\dao_proposal.py", "Python", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 134
"e:\-bishe\Blockchain-MPC\app\api\dashboard_tokens.py", "Python", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 88
"e:\-bishe\Blockchain-MPC\app\api\news.py", "Python", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"e:\-bishe\Blockchain-MPC\app\api\token_detail.py", "Python", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 104
